Source,Target,Weight,Type
43207,46675-0,3,undirected
43207,Dickens, Charles_Mugby Junction,2,undirected
43207,Dickens, Charles_The Battle of Life. A Love Story,1,undirected
43207,Dickens, Charles_The Lamplighter,1,undirected
46675-0,43207,3,undirected
46675-0,Dickens, Charles_A Child's History of England,2,undirected
46675-0,Dickens, Charles_Little Dorrit,1,undirected
46675-0,Dickens, Charles_Nicholas Nickleby,5,undirected
46675-0,Dickens, Charles_Oliver Twist, Vol. 3 (of 3),6,undirected
46675-0,Dickens, Charles_Pearl-Fishing; Choice Stories from Dickens' Household Words; First Series,2,undirected
5808,5812,6,undirected
5808,Twain, Mark_A Tramp Abroad - Volume 07,2,undirected
5808,Twain, Mark_Life on the Mississippi, Part 10.,1,undirected
5808,Twain, Mark_Roughing It, Part 7.,3,undirected
5812,5808,6,undirected
5812,Dickens, Charles_A Child's History of England,1,undirected
5812,Twain, Mark_A Tramp Abroad - Volume 03,4,undirected
5812,Twain, Mark_A Tramp Abroad - Volume 07,5,undirected
5812,Twain, Mark_Roughing It, Part 7.,3,undirected
5812,Twain, Mark_The Entire Project Gutenberg Works of Mark Twain,3,undirected
5812,Twain, Mark_The Innocents Abroad,1,undirected
807-0,883-0,2,undirected
807-0,Dickens, Charles_Mugby Junction,3,undirected
807-0,Twain, Mark_Editorial Wild Oats,1,undirected
883-0,807-0,2,undirected
883-0,Dickens, Charles_A Message from the Sea,2,undirected
883-0,Dickens, Charles_Bleak House,5,undirected
883-0,Dickens, Charles_Doctor Marigold,1,undirected
883-0,Dickens, Charles_Little Dorrit,4,undirected
883-0,Dickens, Charles_Mugby Junction,3,undirected
883-0,Dickens, Charles_Nicholas Nickleby,1,undirected
883-0,Dickens, Charles_The Personal History of David Copperfield,1,undirected
883-0,James, Henry_The American,3,undirected
Dickens, Charles_A Child's History of England,46675-0,2,undirected
Dickens, Charles_A Child's History of England,5812,1,undirected
Dickens, Charles_A Child's History of England,Dickens, Charles_Pearl-Fishing; Choice Stories from Dickens' Household Words; First Series,3,undirected
Dickens, Charles_A Message from the Sea,883-0,2,undirected
Dickens, Charles_A Message from the Sea,Dickens, Charles_Doctor Marigold,3,undirected
Dickens, Charles_A Message from the Sea,Dickens, Charles_Mugby Junction,3,undirected
Dickens, Charles_A Message from the Sea,Dickens, Charles_The Battle of Life. A Love Story,1,undirected
Dickens, Charles_American Notes,James, Henry_Within the Rim, and Other Essays, 1914-15,2,undirected
Dickens, Charles_American Notes,Twain, Mark_Life on the Mississippi, Part 6.,1,undirected
Dickens, Charles_American Notes,Twain, Mark_The Innocents Abroad - Volume 05,2,undirected
Dickens, Charles_American Notes,Twain, Mark_The Innocents Abroad,3,undirected
Dickens, Charles_Bleak House,883-0,5,undirected
Dickens, Charles_Bleak House,Dickens, Charles_Little Dorrit,6,undirected
Dickens, Charles_Bleak House,Dickens, Charles_The Personal History of David Copperfield,4,undirected
Dickens, Charles_Bleak House,James, Henry_The American,1,undirected
Dickens, Charles_Doctor Marigold,883-0,1,undirected
Dickens, Charles_Doctor Marigold,Dickens, Charles_A Message from the Sea,3,undirected
Dickens, Charles_Doctor Marigold,Dickens, Charles_Mugby Junction,2,undirected
Dickens, Charles_Little Dorrit,46675-0,1,undirected
Dickens, Charles_Little Dorrit,883-0,4,undirected
Dickens, Charles_Little Dorrit,Dickens, Charles_Bleak House,6,undirected
Dickens, Charles_Little Dorrit,Dickens, Charles_Nicholas Nickleby,3,undirected
Dickens, Charles_Little Dorrit,Dickens, Charles_Oliver Twist, Vol. 3 (of 3),1,undirected
Dickens, Charles_Little Dorrit,Dickens, Charles_The Battle of Life. A Love Story,1,undirected
Dickens, Charles_Little Dorrit,Dickens, Charles_The Cricket on the Hearth,3,undirected
Dickens, Charles_Little Dorrit,Dickens, Charles_The Personal History of David Copperfield,2,undirected
Dickens, Charles_Mugby Junction,43207,2,undirected
Dickens, Charles_Mugby Junction,807-0,3,undirected
Dickens, Charles_Mugby Junction,883-0,3,undirected
Dickens, Charles_Mugby Junction,Dickens, Charles_A Message from the Sea,3,undirected
Dickens, Charles_Mugby Junction,Dickens, Charles_Doctor Marigold,2,undirected
Dickens, Charles_Mugby Junction,Dickens, Charles_Some Christmas Stories,4,undirected
Dickens, Charles_Mugby Junction,Dickens, Charles_The Battle of Life. A Love Story,2,undirected
Dickens, Charles_Mugby Junction,James, Henry_Four Meetings,1,undirected
Dickens, Charles_Nicholas Nickleby,46675-0,5,undirected
Dickens, Charles_Nicholas Nickleby,883-0,1,undirected
Dickens, Charles_Nicholas Nickleby,Dickens, Charles_Little Dorrit,3,undirected
Dickens, Charles_Nicholas Nickleby,Dickens, Charles_Oliver Twist, Vol. 3 (of 3),3,undirected
Dickens, Charles_Nicholas Nickleby,Dickens, Charles_Some Christmas Stories,1,undirected
Dickens, Charles_Nicholas Nickleby,Dickens, Charles_The Battle of Life. A Love Story,3,undirected
Dickens, Charles_Nicholas Nickleby,Dickens, Charles_The Cricket on the Hearth,1,undirected
Dickens, Charles_Oliver Twist, Vol. 3 (of 3),46675-0,6,undirected
Dickens, Charles_Oliver Twist, Vol. 3 (of 3),Dickens, Charles_Little Dorrit,1,undirected
Dickens, Charles_Oliver Twist, Vol. 3 (of 3),Dickens, Charles_Nicholas Nickleby,3,undirected
Dickens, Charles_Pearl-Fishing; Choice Stories from Dickens' Household Words; First Series,46675-0,2,undirected
Dickens, Charles_Pearl-Fishing; Choice Stories from Dickens' Household Words; First Series,Dickens, Charles_A Child's History of England,3,undirected
Dickens, Charles_Pearl-Fishing; Choice Stories from Dickens' Household Words; First Series,Twain, Mark_Alonzo Fitz, and Other Stories,1,undirected
Dickens, Charles_Pearl-Fishing; Choice Stories from Dickens' Household Words; First Series,Twain, Mark_The Entire Project Gutenberg Works of Mark Twain,3,undirected
Dickens, Charles_Some Christmas Stories,Dickens, Charles_Mugby Junction,4,undirected
Dickens, Charles_Some Christmas Stories,Dickens, Charles_Nicholas Nickleby,1,undirected
Dickens, Charles_Some Christmas Stories,Twain, Mark_The Entire Project Gutenberg Works of Mark Twain,2,undirected
Dickens, Charles_The Battle of Life. A Love Story,43207,1,undirected
Dickens, Charles_The Battle of Life. A Love Story,Dickens, Charles_A Message from the Sea,1,undirected
Dickens, Charles_The Battle of Life. A Love Story,Dickens, Charles_Little Dorrit,1,undirected
